Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
Reveni,https://www.crunchbase.com/organization/reveni,2022-04-01,11-50,2021-01-01,year,E-Commerce,"Madrid, Madrid, Spain",Reveni is an instant refund platform for e-commerce that prevents fraud in returns and delivers instant refunds to customers .,"56,771",,Active,For Profit,https://reveni.io/,,,https://www.linkedin.com/company/reveni/,,Reveni is an instant refund platform for e-commerce that prevents fraud in returns and delivers instant refunds to customers.,,,800000,EUR,883880,Pre-Seed,800000,EUR,883880,800000,EUR,883880,Pre-Seed,Seed,"Genially, JME Ventures, Miguel Fernandez, Ignacio Moreno Pubul, Fernando Cabello",,,,262,hello@reveni.io,
Voyc,https://www.crunchbase.com/organization/voyc-ai,2022-03-01,11-50,2018-02-28,day,"Call Center, InsurTech","Amsterdam, Noord-Holland, The Netherlands",We help financial services companies be compliant and improve customer service by monitoring 100% of their customer interactions.,"56,854",$1M to $10M,Active,For Profit,https://www.voyc.ai/,https://twitter.com/voyc_ai,https://www.facebook.com/voycai-280510892827223/,https://www.linkedin.com/company/voycai/,,,,,,,,Seed,780000,USD,780000,,,,Seed,Seed,"Techstars, SAP.iO, Anton Musgrave, Heather Wallace, Louis Geeringh",,,2,428,hello@voyc.ai,
RocketVax,https://www.crunchbase.com/organization/rocketvax,2021-08-03,11-50,2020-01-01,year,"Biotechnology, Chemical, Health Care, Life Science, Pharmaceutical","Basel, Basel-Stadt, Switzerland",RocketVax is a biotech company that develops novel vaccines by incorporating molecular and DNA-based technology.,"56,956",Less than $1M,Active,For Profit,https://rocketvax.com/,,https://www.facebook.com/RocketVax,https://www.linkedin.com/company/rocketvax/,,RocketVax is a biotech company that develops novel vaccines by incorporating molecular and DNA-based technology.,,,4000000,CHF,4425449,Seed,4000000,CHF,4425449,4000000,CHF,4425449,Seed,Seed,"InnoSuisse, University Hospital Basel, Canton of Basel-Stadt",,,9,,contact@rocketvax.com,+41-615-615-421
Aporia,https://www.crunchbase.com/organization/aporia-technologies-ltd,2022-02-23,11-50,2019-09-01,day,"Analytics, Artificial Intelligence, Cloud Data Services, Cloud Infrastructure, Machine Learning, Software","Tel Aviv, Tel Aviv, Israel",Full-stack ML Observability Platform,"56,973",$1M to $10M,Active,For Profit,http://www.aporia.com,https://twitter.com/AporiaAi,,https://www.linkedin.com/company/aporiaai,,"Aporia is a full-stack ML observability platform that enables data science and ML teams to monitor, explain, and improve their ML models. The platform offers visibility, proactive monitoring and automation, advanced investigation tools, and explainability. With customization at its core, Aporia is easily tailored to fit any ML use case and allows data scientists to have full control over detecting issues including data drift, bias, data integrity issues, and performance degradation. Used by Fortune 500 companies and data science teams in every industry across the world, Aporia empowers businesses to trust their machine learning and ensure responsible AI and fairness.",,,25000000,USD,25000000,Series A,30000000,USD,30000000,25000000,USD,25000000,Series A,Early Stage Venture,"Tiger Global Management, Vertex Ventures, Samsung NEXT, Tal Ventures, TLV Partners",,,11,"4,865",support@aporia.com,
Witty Works,https://www.crunchbase.com/organization/witty-works,2022-02-14,11-50,2018-09-01,month,"Artificial Intelligence, B2B, Information Technology, SaaS, Software","Zürich, Zurich, Switzerland",Witty Works develops B2B SaaS based on de-biased language AI.,"57,079",,Active,For Profit,https://www.witty.works,https://twitter.com/witty_works,https://www.facebook.com/wittyworkszurich,https://www.linkedin.com/company/witty-works,,"Witty unlocks performance with inclusive language. It is a B2B SaaS that detects unconscious stereotypes and bias in communication. It enables companies to consistently apply inclusive language and disseminate corporate language rules. Through the daily use of language, employees are made aware of their own biases and can grow into a more inclusive behavior, boosting companies’ efforts towards more diversity and inclusion.",,,,,,Pre-Seed,843409,USD,843409,,,,Pre-Seed,Seed,"GSD Venture Studios, SICTIC",,,7,,contact@witty.works,41-442-910-022
LGN,https://www.crunchbase.com/organization/lgn,2021-10-04,11-50,2019-10-01,month,"Artificial Intelligence, Hardware, Information Technology, Sensor","London, England, United Kingdom",LGN is a developer of artificial perception technology used to balance and automatically connect the AI system to the sensor array.,"57,176",$1M to $10M,Active,For Profit,https://lgn.ai/,https://twitter.com/lgn_ai,,https://www.linkedin.com/company/lgn/,,LGN is a developer of artificial perception technology used to balance and automatically connect the AI system to the sensor array. Its technology reduces capture and processing costs by automatically filtering data to only record and process edge cases and by transferring and storing data in a highly compressed form that enable industries with a reduced chip cost and power consumption whilst allowing high-level autonomy on lower-cost commodity sensors.,,,,,,Seed,2537887,USD,2537887,,,,Seed,Seed,"7percent Ventures, Creative Destruction Lab (CDL), Trucks Venture Capital, InMotion Ventures, Luminous Ventures",,,4,871,info@lgn.ai,
iERP.ai,https://www.crunchbase.com/organization/ierp-ai,2021-11-11,11-50,2019-04-30,day,"Artificial Intelligence, E-Commerce, E-Commerce Platforms, Machine Learning, Predictive Analytics, Retail, Software, Wholesale","Bratislava, Bratislava, Slovakia (Slovak Republic)",iERP is helping companies with business predictions to decrease their cost and increase their revenues by providing using AI algorithms,"57,362",$1M to $10M,Active,For Profit,https://ierp.ai/,https://twitter.com/ierp_ai,https://www.facebook.com/ierpai,https://www.linkedin.com/company/ierp-ai/,,"iERP is providing to companies all-in-one business prediction platform which is easy to use on-premise solution for business users (with cloud solution on the road map) with purpose build algorithms which are supporting many use cases at affordable price. Our software helps businesses to be more competitive by increasing revenue, customer satisfaction and decreasing cost. We are currently offering: * Sales forecasting - https://ierp.ai/inventory-demand-forecasting/ * Demand forecasting - https://ierp.ai/sales-forecasting-introduction/ * Late payment predictions - https://ierp.ai/debt-ageing/ * Next best offer - https://ierp.ai/next-best-offer/ * Discount recommendations - https://ierp.ai/discount-recommendation/",,,520000,EUR,595298,Seed,650000,EUR,741567,520000,EUR,595298,Seed,Seed,"Startup Wise Guys, Zero Gravity Capital, CB Investment Management, Dmitry Sumin",,,7,"2,616",b2b@ierp.ai,+421 903 25 1234
hitcap esports GmbH,https://www.crunchbase.com/organization/hitcap-esports-gmbh,2021-11-10,11-50,2020-06-18,day,eSports,"Stuttgart, Baden-Wurttemberg, Germany",hitcap esports is an online-based platform that connects esports gamers and fans.,"57,698",,Active,For Profit,http://hitcap.gg,https://twitter.com/Hitcap_GG,,https://www.linkedin.com/company/hitcapgg,,,,,500000,EUR,574294,Pre-Seed,750000,EUR,877900,500000,EUR,574294,Pre-Seed,Seed,Carcharodon Capital,,,7,"8,857",ingo.weber@hitcap.gg,
Hypi,https://www.crunchbase.com/organization/hypi,2021-09-24,11-50,2018-08-30,day,"Developer APIs, Enterprise Applications, Information Technology, Mobile Apps, SaaS, Software, Web Apps","London, England, United Kingdom",Hypi is an no-code and low-code application developer community centered around its SaaS & Enterprise platforms.,"57,730",,Active,For Profit,https://hypi.io/,https://www.twitter.com/hypi_universe,https://www.facebook.com/hypi.universe/,https://www.linkedin.com/company/hypi-universe/,,,,,149999,GBP,205144,Pre-Seed,149999,GBP,205144,149999,GBP,205144,Pre-Seed,Seed,SFC Capital,,,6,"3,157",support@hypi.io,
Heatle,https://www.crunchbase.com/organization/heatle,2021-11-15,11-50,2019-01-01,year,"Electronics, Food and Beverage, Manufacturing, Smart Home","Berlin, Berlin, Germany",Heatle engages in the manufacture and supply of an inductive immersion heater that heats liquids in the vessel of your choice.,"57,873",$1M to $10M,Active,For Profit,https://shop.heatle.de/en/,,https://www.facebook.com/heatle.official/,https://www.linkedin.com/company/heatle-official/,,,,,1000000,EUR,1136699,Pre-Seed,1000000,EUR,1136699,1000000,EUR,1136699,Pre-Seed,Seed,"better ventures, Philipp Schrempp, Christoph Behn, Dr. Cedric Duvinage, Tina Dreimann",,,7,,hi@heatle.de,
Zortify,https://www.crunchbase.com/organization/zortify,2022-03-01,11-50,2018-01-01,year,"Analytics, Artificial Intelligence, Consulting, Machine Learning, SaaS","Luxembourg, Luxembourg, Luxembourg",Zortify uses text analysis and artificial intelligence to develop and provide information about individuals.,"57,969",,Active,For Profit,https://www.zortify.com,,https://www.facebook.com/zortify,https://www.linkedin.com/company/zortify,,"Zortify employs artificial intelligence to assist you in making smarter selections. Zortify creates AI-based algorithms to uncover significant insights that might otherwise go unnoticed. In this approach, they want to enable their clients to make better, more long-term decisions. They build task-oriented models using Natural Language Processing (NLP) tasks and machine learning approaches. Zortify is headquartered in Luxembourg City, Luxembourg and was founded in 2018.",,,3050000,EUR,3395321,Seed,3050000,EUR,3395321,3050000,EUR,3395321,Seed,Seed,Luxembourg-City Incubator,,,3,"56,338",hello@zortify.com,00352 - 28816301
TissueLabs,https://www.crunchbase.com/organization/tissuelabs,2022-02-01,11-50,2019-01-01,month,"3D Printing, 3D Technology, Biotechnology, Life Science, Medical, Therapeutics","Manno, Ticino, Switzerland",The platform for creating organs and tissues in the lab.,"58,076",,Active,For Profit,http://www.tissuelabs.com,https://twitter.com/tissuelabs,https://web.facebook.com/tissuelabs,https://www.linkedin.com/company/tissuelabs/,,"TissueLabs is the platform for creating organs and tissues in the lab. We offer biomaterials, equipment, and services to support tissue engineering and regenerative medicine. Our products are created to allow performing state-of-the-art research, from drug discovery to organ fabrication. Currently, we are focused on attending the academic life sciences market. In the future, our mission is to fabricate lab-grown tissues and organs, for both research and therapeutic applications.",,,1000000,BRL,189897,Grant,1500000,BRL,279434,1500000,BRL,279433,Pre-Seed,Seed,"InnoSuisse, MassChallenge Switzerland, FINEP, Fundação de Amparo à Pesquisa do Estado de SP",,,3,"5,410",info@tissuelabs.com,
Bugbounter,https://www.crunchbase.com/organization/bugbounter,2021-12-03,11-50,2020-01-31,day,Cyber Security,"Tallinn, Harjumaa, Estonia",PaaS - crowdsourced testing that discovers your most critical cyber security vulnerabilities,"58,152",,Active,For Profit,https://bugbounter.com,https://twitter.com/bugbounterr,https://www.facebook.com/BugBounter-383901825486710,https://www.linkedin.com/company/bugbounter,,"BugBounter is a blockchain-based platform that brings corporations together with hundreds of registered freelance security researchers to discover, verify and report impactful cyber security vulnerabilities. We are based in Estonia, serving worldwide. Over 100 researchers are registered and signed contract on our platform. We are devoted to solving the cyber security testing needs of organizations that arise in the face of increasing cyber-attacks in today's world where accessible cyber security experts are limited. We have developed a reward-based collaboration platform with independent security researchers and ethical/white-hat hackers. By using blockchain, we overcome the trust problem faced by platforms working on similar issues around the world.",,,300000,EUR,339434,Seed,489435,USD,489435,300000,EUR,339434,Seed,Seed,,,,7,581,info@bugbounter.com,
Ecoin Foundation,https://www.crunchbase.com/organization/ecoin-foundation,2021-09-03,11-50,2020-02-12,day,"Blockchain, Cryptocurrency, FinTech","London, England, United Kingdom","Cryptocurrency, Finance ecosystem: World’s first AI-driven sign up process to enable social mining","58,692",,Active,For Profit,https://ecoinofficial.org,https://twitter.com/EcoinOfficial,https://www.facebook.com/ecoinofficial,https://www.linkedin.com/company/ecoinfoundationofficial/,,"FinTech, Cryptocurrency, Financial ecosystem, Social Mining",,,50000,USD,50000,Seed,150000,USD,150000,50000,USD,50000,Seed,Seed,Draper University Ventures,,,7,"40,135",abhyudoy@ecoinofficial.org,9002889080
CheckSig,https://www.crunchbase.com/organization/checksig,2022-01-05,11-50,2019-10-25,day,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Services","Milan, Lombardia, Italy",Digital asset custody and prime brokerage,"58,955",,Active,For Profit,https://checksig.io/,https://twitter.com/CheckSig_safe,https://www.facebook.com/checksig.safe,https://www.linkedin.com/company/checksig,,"CheckSig is a regulated digital assets provider, offering brokerage and custody services to institutional investors and high-net-worth individuals",,,1500000,EUR,1696736,Angel,4000000,EUR,4491583,1500000,EUR,1696736,Angel,Seed,,,,8,,info@checksig.io,
Coinpanion,https://www.crunchbase.com/organization/coinpanion,2022-04-12,11-50,2019-06-28,day,"Asset Management, Bitcoin, Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform, Wealth Management","Vienna, Wien, Austria",Coinpanion makes investing in digital assets as easy as investing in stocks with ETFs.,"58,955",,Active,For Profit,https://coinpanion.com,https://twitter.com/coinpanioncom,https://www.facebook.com/coinpanion/,https://www.linkedin.com/company/coinpanion,,"Coinpanion makes investing in digital assets such as cryptocurrencies, NFTs, and DeFi products as easy as investing in stocks with ETFs.",,,3700000,EUR,4005664,Seed,5830000,EUR,6522294,3700000,EUR,4005664,Seed,Seed,"High-Tech Grunderfonds, Frank Westermann, Anton Kittelberger",,,500,"6,124",info@coinpanion.com,
Ev.energy,https://www.crunchbase.com/organization/ev-energy,2022-02-24,11-50,2018-07-17,day,"Apps, Electric Vehicle, Energy, Smart Home, Software","London, England, United Kingdom",Ev.energy is a smart charging software platform for electric vehicles to reduce carbon emissions and costs.,"59,188",,Active,For Profit,https://ev.energy,https://twitter.com/ev_dot_energy,https://www.facebook.com/evdotenergy,https://www.linkedin.com/company/evdotenergy,,"Ev.energy is a smart charging software platform for electric vehicles, to reduce carbon emissions and costs. The company was founded in 2018 and is based in London, England.",,,4000000,USD,4000000,Series A,12800000,USD,12800000,4000000,USD,4000000,Series A,Early Stage Venture,"Clim8 Invest, Energy Impact Partners, Innovate UK, Future Energy Ventures, ArcTern Ventures",,,88,,admin@ev.energy,
Meight,https://www.crunchbase.com/organization/meight,2022-01-19,11-50,2018-01-01,year,"Computer, Machine Learning, Software","Évora, Evora, Portugal",Meight learning from data to help drivers for safer and less polluted places to live.,"59,192",,Active,For Profit,https://meight.com/,https://twitter.com/wearemeight,https://www.facebook.com/wearemeight,https://www.linkedin.com/company/wearemeight/,,Meight learning from data to help drivers for safer and less polluted places to live.,,,1300000,EUR,1474524,Seed,1300000,EUR,1474525,1300000,EUR,1474524,Seed,Seed,"Ryan Petersen, MassChallenge, Faber, Grupo Lusiaves service, Superlyst Ventures",,,8,63,contact@meight.com,
Medicai,https://www.crunchbase.com/organization/medicai,2021-10-28,11-50,2018-01-01,year,"Cloud Infrastructure, Health Care, Health Diagnostics, Information Services, Information Technology","Bucharest, Bucuresti, Romania","Medicai allows for in-the-cloud, real-time collaboration between complex teams of doctors and patients on imaging investigations","59,517",,Active,For Profit,https://medicai.io/,,https://www.facebook.com/medicai.io,https://www.linkedin.com/company/medicai-io/,,"Medicai, the technology startup that aims to change the way multidisciplinary medical teams collaborate with their patients through an online platform.",,,300000,EUR,350470,Convertible Note,500000,EUR,554650,500000,EUR,554650,Venture - Series Unknown,,"Gapminder VC, Roca X, Sacha Dragic, D Moonshots, Cleverage Venture Capital",,,3,562,support@medicai.io,
Kili Technology,https://www.crunchbase.com/organization/kili-technology,2021-07-27,11-50,2018-12-01,day,"Analytics, Artificial Intelligence, Computer, Machine Learning, Software","Paris, Ile-de-France, France","Kili Technology enables large companies to transform their raw data into high-quality annotated data, ready for AI-driven projects.","59,765",Less than $1M,Active,For Profit,https://kili-technology.com/,https://twitter.com/kili_technology,https://www.facebook.com/kilitechnology/,https://www.linkedin.com/company/kili-technology/,,"Kili Technology enables large companies to transform their raw data into high-quality annotated data, ready for AI-driven projects.",,,25000000,USD,25000000,Series A,31933463,USD,31933463,25000000,USD,25000000,Series A,Early Stage Venture,"Headline, Olivier Pomel, Balderton Capital, Serena, Olivier Pailhès",,,4,"16,352",,
Evina,https://www.crunchbase.com/organization/evina,2021-11-18,11-50,2018-01-01,year,"Cyber Security, Fraud Detection, Mobile Payments, SaaS","Paris, Ile-de-France, France",Cybersecurity for mobile payment,"59,869",Less than $1M,Active,For Profit,https://www.evina.com,,,https://www.linkedin.com/company/evina/,,Evina SaaS solutions enables its customers to block fraudulent transactions & ads.,,,20000000,EUR,22735695,Series A,22735695,USD,22735695,20000000,EUR,22735695,Series A,Early Stage Venture,"Radian Capital, Id4 ventures, 50 Partners, Bouygues Telecom Initiatives, SaaS Partners",,,8,"137,811",hello@evina.com,
4D Biomaterials,https://www.crunchbase.com/organization/4d-biomaterials,2021-07-28,11-50,2018-10-01,day,"Biotechnology, Health Care, Medical Device","Nottingham, Nottingham, United Kingdom",4D Biomaterials manufactures polymer resins for 3D-printing high resolution biodegradable medical devices.,"59,997",,Active,For Profit,https://4dbiomaterials.co.uk/,,,https://www.linkedin.com/company/4d-biomaterials/about/,,"4Degra® is a unique, patent-protected platform technology and is the ONLY route to 3D-printing high resolution biodegradable medical devices. The technology boosts excellent 3D-printing resolution, unique tunability in strength, elasticity and biodegrability as well as outstanding shape memory properties. Game-changing properties in themselves PLUS the ability to 3D-print medical devices from nano to macro scale will lead to far superior patient experiences compared with the next best alternatives.",,,1600000,GBP,2224929,Seed,1881000,GBP,2602908,1600000,GBP,2224929,Seed,Seed,"SFC Capital, Mercia Fund Managers, Innovate UK, MEIF Proof-of-Concept & Early Stage Fund, DSW Ventures",,,6,,info@4dbiomaterials.co.uk,
The Vintage Bar,https://www.crunchbase.com/organization/the-vintage-bar,2022-01-15,11-50,2017-12-01,month,"E-Commerce, Fashion","Copenhagen, Hovedstaden, Denmark",We offer people and businesses to sell second hand luxury goods in an elegant and inspiring environment while supporting a circular economy,"60,033",,Active,For Profit,https://www.thevintagebar.com,,,,,,,,500000,USD,500000,Angel,500000,USD,500000,500000,USD,500000,Angel,Seed,INTERFINANS HOLDING ApS,,,7,"225,306",,
finothek - halloSophia.com,https://www.crunchbase.com/organization/finothek,2022-02-19,11-50,2018-11-29,day,"Consulting, Digital Marketing, E-Commerce, Information Technology, Lead Management, Management Consulting","Linz, Oberosterreich, Austria",HalloSophia.com - the online management consultancy,"60,047",,Active,For Profit,https://www.hallosophia.com,https://twitter.com/sophiaadvisory,https://www.facebook.com/sophiaadvisory,https://www.linkedin.com/company/sophiaadvisory,,"Say Hallo to sophisticated advice! HalloSophia.com - the online management consultancy. Transparent advisory packages offered and executed by the best consulting companies on HalloSophia's efficient digital infrastructure.  In addition, finothek also provides premium partners from banking Consulting with exclusive technical infrastructure for digitized consulting. Brand names for this are e.g. MentAfrica.com, goodadvice.rocks & fundnow.at (co-brand with Erste Bank Austria and CONDA).",,,590000,USD,590000,Seed,860000,USD,860000,590000,USD,590000,Seed,Seed,,,,32,907,contact@hallosophia.com,004368184451943
Berba,https://www.crunchbase.com/organization/berba,2022-02-02,11-50,2019-09-04,day,"Artificial Intelligence, Machine Learning, Natural Language Processing, Translation Service","Bilbao, Pais Vasco, Spain",Berba is a crowdsourced translation service enhanced by human-in-the-loop artificial intelligence.,"60,354",,Active,For Profit,https://berba.com/,https://twitter.com/myberba,https://www.facebook.com/myBerba/,https://www.linkedin.com/company/berbatranslations,,"Berba was born out of a passion for languages, a deep interest in technology and artificial intelligence, and an eagerness to ease communication across cultures. Language is a complex tool used by humans, constantly changing and finding creative ways to explain new realities. This is why they believe in people to deliver the best possible translation. Having worked with all sorts of advanced technology, they also believe in the power of artificial intelligence to craft consistent quality translations in a fraction of the time of traditional methods. At Berba, they have combined the best aspects of human translation and AI to create authentic, natural- sounding translations quickly.",,,1000000,USD,1000000,Seed,1250000,USD,1250000,1000000,USD,1000000,Seed,Seed,"MassChallenge, Centre for the Development of Industrial Technology (CDTI), Clave",,,8,874,info@berba.com,+34 946 78 02 02
Buildiro Tech,https://www.crunchbase.com/organization/buildiro-tech,2022-03-11,11-50,2017-11-17,day,"E-Commerce, Information Technology, Internet","London, England, United Kingdom",Buildiro.com is a construction materials metasearch engine.,"60,511",,Active,For Profit,https://www.buildiro.com,https://twitter.com/buildiro,https://www.facebook.com/buildiro,https://www.linkedin.com/company/buildiro/?viewAsMember=true,,Buildiro.com is a construction materials metasearch engine that allows tradespeople and DIY enthusiasts to locate and purchase building supplies online in minutes.,,,228833,GBP,298364,Equity Crowdfunding,758076,USD,758076,228833,GBP,298364,Equity Crowdfunding,,Nation 1,,,11,867,info@buildiro.com,
Nuclio Digital School,https://www.crunchbase.com/organization/nuclio-digital-school,2021-09-23,11-50,2018-01-01,year,"Big Data, Blockchain, Digital Marketing","Barcelona, Catalonia, Spain","Nuclio Digital School is the business school of Nuclio Venture Builder, the startup incubator driven from Barcelona by Carlos Blanco.","60,579",,Active,For Profit,https://nuclio.school/,,https://www.facebook.com/nuclioSchool/,https://www.linkedin.com/school/the-nuclio-school/,,"Nuclio Digital School is the business school of Nuclio Venture Builder, the startup incubator driven from Barcelona by Carlos Blanco. Their main objective is to create and renew profiles for the real requirements of the industry, so that they ensure that these profiles come prepared to be productive from the first moment in any company that requires them. They lead you through the most important pillars of the Digital Economy, from its foundations in programming to the world of business through technology, entrepreneurship of new ideas and business models. Nuclio Digital School offers a transversal training that allows you to go from a Beginner level to an Expert level in Programming, Blockchain, BigData, Digital Marketing, Business Innovation, etc.",,,1000000,EUR,1173950,Venture - Series Unknown,1165000,EUR,1359489,1000000,EUR,1173950,Venture - Series Unknown,,"Sabadell Venture Capital, Nuclio Venture Builder",,,7,,hello@nuclio.school,+34 602 25 99 82
YLOAD,https://www.crunchbase.com/organization/yload,2021-07-16,11-50,2019-05-02,day,"Artificial Intelligence, Logistics, Marketplace, Software","Cluj, Cluj, Romania","The 1st transport marketplace in Eastern Europe offering fully digitized, transparent, AI-enabled logistic solutions.","60,638",,Active,For Profit,https://www.yload.ro,,https://www.facebook.com/yloadeu/,https://www.linkedin.com/company/yload/,,Yload is a provider of digitized transport solutions that empowers shippers and carriers to complete the transport of goods as efficiently as possible through our digital brokerage and logistics software offerings. We combine industry expertise with the latest technology to offer competitive prices and superior services.,,,700000,EUR,826465,Pre-Seed,700000,EUR,826466,700000,EUR,826465,Pre-Seed,Seed,SeedBlink,,,5,"4,681",business@yload.ro,0040377101515
Gleam Games,https://www.crunchbase.com/organization/gleam-games,2022-04-13,11-50,2020-12-01,month,"Casual Games, Online Games, Video Games","Istanbul, Istanbul, Turkey",Gleam Games aims to bring the best in-game experiences through design and technology.,"60,882",,Active,For Profit,https://www.gleamgames.com,,,https://www.linkedin.com/company/gleamgames,,Gleam Games aims to bring the best in-game experiences through design and technology.,,,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,Seed,Seed,"Ludus, Firat Isbecer, Fatih Isbecer",,,3,,info@gleamgames.com,
Hamelyn,https://www.crunchbase.com/organization/hamelyn,2021-10-19,11-50,2020-06-24,day,"E-Commerce, Retail","Madrid, Madrid, Spain",Instant Price Online Re-commerce Platform,"60,967",,Active,For Profit,https://hamelyn.com,,,https://www.linkedin.com/company/hamelyn/mycompany/?viewAsMember=true,,"Hamelyn is the fast, easy, hassle-free way to get cash for your unwanted items. Starting with books, we give instant prices for those books that you no longer need, we provide the logistics for it and once the items have arrived at our premises, we pay you for it in 24/48 hours. We aim to become one of the largest online preowned retailers in the world being able to buy and sell all different product categories.",,,1000000,EUR,1163150,Seed,1225000,EUR,1433589,1000000,EUR,1163150,Seed,Seed,"Itnig, Angels Capital, Cabiedes & Partners",,,8,"4,062",hola@hamelyn.com,620-849251
ehouse,https://www.crunchbase.com/organization/ehouse-45b7,2021-12-01,11-50,2020-01-01,year,E-Commerce Platforms,"Tel Aviv, Tel Aviv, Israel",ehouse is a tech-enabled platform for entrepreneurs to build and scale their eCommerce businesses.,"61,009",,Active,For Profit,https://www.ehouse.space/,,https://www.facebook.com/ehouse.space,https://www.linkedin.com/company/ehousespace/,,"ehouse is a tech-enabled platform for entrepreneurs to build and scale their eCommerce businesses.  We are building an end-to-end solution composed of flexible urban warehouses, a full suite of logistics and business services, a network of eCommerce entrepreneurs, and proprietary software that integrates with all logistics aspects required to run an efficient eCommerce business.  Our mission is to empower the new generation of eCommerce entrepreneurs to start, grow and scale their businesses by making logistics accessible and efficient. ehouse is a well-founded post-seed company that was raised by top-tier investors.",,,6500000,USD,6500000,Seed,6500000,USD,6500000,6500000,USD,6500000,Seed,Seed,TLV Partners,,,,,Info@ehouse.space,+972512172029
Expertwired,https://www.crunchbase.com/organization/expertwired,2022-05-11,11-50,2020-01-01,year,"Information Services, Market Research","Amsterdam, Noord-Holland, The Netherlands",Expertwired is a 1-on-1 video consultation firm.,"61,284",,Active,,https://www.expertwired.com,,,https://www.linkedin.com/company/expertwired,,Expertwired is the most innnovative marketplace in unlocking expert knowledge on short notice to support high profile clients in their strategic choices and investment decisions.,,,1000000,EUR,1051194,Seed,1051194,USD,1051194,1000000,EUR,1051194,Seed,Seed,"Patrick Stal, Pop Up Qapital, MB Capital, Jurgen van Dijk, Ruud Van hoek",,,,"10,354",,
GENinCode,https://www.crunchbase.com/organization/gen-incode,2021-08-04,11-50,2018-01-01,year,"Biotechnology, Health Care, Life Science","Oxford, Oxfordshire, United Kingdom",GENinCode is a genetic testing business specializing in the risk assessment and prediction of cardiovascular disease.,"61,286",$1M to $10M,Active,For Profit,https://www.genincode.com,https://twitter.com/GenIncode,https://www.facebook.com/genincodepredictivegenetics,https://in.linkedin.com/company/genincode,,GEN inCode specializes in cardiovascular disease risk. Cardiovascular disease is the leading cause of death and disability worldwide. GEN inCode products combine genetic and clinical data to risk assess patients and provide healthcare practitioners with advanced clinical information to evaluate and predict the onset of cardiovascular disease. Our products help inform patients of their health risk enabling them to make behavioral or ‘lifestyle’ changes whilst providing doctors with greater genetic insight and clinical information to determine the most effective treatment pathway (precision medicine). GEN inCode predictive technology provides patients and physicians with globally leading preventative care and treatment strategies. Our molecular tests combine clinical algorithms and artificial intelligence to provide an advanced patient risk assessment to predict disease onset.,,,500000,GBP,694477,Private Equity,3900000,GBP,5182618,500000,GBP,694477,Private Equity,Private Equity,Maven Capital Partners,,,3,366,info@genincode.com,+44 7800 903435
n.go,https://www.crunchbase.com/organization/n-go,2021-11-14,11-50,2021-01-01,year,"E-Commerce, Information Services, Intelligent Systems, Software","Riyadh, Ar Riyad, Saudi Arabia",n•go is an application for receiving instant online orders and delivering it to its clients by the safest and quickest ways.,"61,319",,Active,For Profit,https://n-go.co,https://twitter.com/ngo_ksa,,https://www.linkedin.com/company/n-go,,n•go is an application specialized in receiving instant online orders and delivering to its clients in the safest and quickest ways possible. n.go allows customers to pick up their ordered and paid products upon arrival from the store without the need to get out of the car.,,,7000000,SAR,1866368,Seed,7000000,SAR,1866368,7000000,SAR,1866368,Seed,Seed,,,,7,"1,547",,
Oparo,https://www.crunchbase.com/organization/oparo,2022-02-01,11-50,2017-11-19,day,"Big Data, Information Technology, Real Estate, Real Estate Investment","London, England, United Kingdom",Algorithm Driven | People Based | Real Estate Investment,"61,351",,Active,For Profit,https://www.oparo.co.uk,,,https://www.linkedin.com/company/oparo/,,,,,,,,Seed,93886617,USD,93886617,,,,Seed,Seed,,,,,212,connect@oparo.co.uk,02071909706
Archmir,https://www.crunchbase.com/organization/archmir,2021-10-21,11-50,2019-01-01,year,"Artificial Intelligence, Insurance, Software","Istanbul, Istanbul, Turkey",Archmir provides vehicle damage assessment with AI for insurance companies and operational management software for vehicle experts.,"62,155",,Active,For Profit,https://www.archmir.ai/,,,https://www.linkedin.com/company/archmir/,,,,,2400000,USD,2400000,Seed,2400000,USD,2400000,2400000,USD,2400000,Seed,Seed,,,,5,,,
